SA2_code,y.stomach.male,sd.stomach.male,y.stomach.female,sd.stomach.female,y.stomach.persons,sd.stomach.persons
11265,-0.08338160893905101,0.1644890354130362,-0.05129329438755058,0.15608954732710784,-0.040821994520255166,0.14277494642385463
11266,-0.08338160893905101,0.13979692272841873,-0.10536051565782628,0.12060651942052565,-0.09431067947124129,0.1149688478967578
11267,-0.2613647641344075,0.1726152067706816,-0.09431067947124129,0.16603183695644283,-0.2231435513142097,0.14357778542764568
11268,-0.2231435513142097,0.2026004379783917,-0.10536051565782628,0.1836748643017383,-0.21072103131565253,0.17436188455206966
11269,-0.21072103131565253,0.1788178437198016,0,0.17166950848021068,-0.10536051565782628,0.14250705243942055
11270,-0.2231435513142097,0.1716695084802107,-0.08338160893905101,0.15639038788431672,-0.18632957819149348,0.13903432369007446
11271,-0.16251892949777494,0.1078107620751056,-0.08338160893905101,0.10489757227719394,-0.12783337150988489,0.09011404881597802
11272,-0.11653381625595151,0.13518052110929835,-0.13926206733350766,0.13340801023354937,-0.13926206733350766,0.11502028753804086
11273,-0.07257069283483537,0.1786747088944464,-0.11653381625595151,0.17737017205068273,-0.07257069283483537,0.15087461436175773
11274,-0.10536051565782628,0.1716695084802107,-0.08338160893905101,0.16849065656662082,-0.07257069283483537,0.1467765675774392
11275,-0.09431067947124129,0.13256383568817073,-0.12783337150988489,0.12304186572290213,-0.11653381625595151,0.11270093447969101
11276,0.03922071315328133,0.17655188144763445,-0.1743533871447778,0.17340195184813834,-0.05129329438755058,0.15608954732710784
11277,-0.13926206733350766,0.1598037624780335,-0.1743533871447778,0.15580696405672542,-0.18632957819149348,0.13433194863654177
11278,-0.07257069283483537,0.1589732618904772,-0.13926206733350766,0.16407327761605214,-0.10536051565782628,0.13385931860586273
11279,0.06765864847381486,0.15856009553389294,-0.16251892949777494,0.17593902361822936,-0.01005033585350145,0.13898704098009823
11280,-0.020202707317519466,0.16718745258442866,-0.19845093872383832,0.17255759239744742,-0.10536051565782628,0.14677656757743923
11281,-0.040821994520255166,0.13467629889513516,-0.15082288973458366,0.13019535972389107,-0.08338160893905101,0.11384875067051513
11282,0.04879016416943205,0.18197701221363896,-0.10536051565782628,0.22905623471831793,0.01980262729617973,0.16519748831321282
11283,-0.07257069283483537,0.1467765675774392,-0.16251892949777494,0.14527375623572655,-0.12783337150988489,0.13207226220218823
11284,-0.10536051565782628,0.14677656757743923,-0.10536051565782628,0.14250705243942055,-0.15082288973458366,0.12091866631410003
11285,-0.09431067947124129,0.14537297912239336,0.01980262729617973,0.1353960790497361,-0.06187540371808753,0.1288243690442537
11286,-0.05129329438755058,0.14001879882742876,-0.040821994520255166,0.13467629889513516,-0.07257069283483537,0.1214720057716371
11287,-0.2231435513142097,0.17620468573390757,-0.06187540371808753,0.1575181028824558,-0.19845093872383832,0.14987812169804246
11288,-0.06187540371808753,0.11167303700395521,-0.06187540371808753,0.10287619698635009,-0.08338160893905101,0.09578654299147647
11289,-0.13926206733350766,0.1242969809478319,-0.040821994520255166,0.10957923553249652,-0.12783337150988489,0.1044869452275578
11290,-0.030459207484708574,0.12938916265250938,0.03922071315328133,0.11775837962233617,-0.020202707317519466,0.10756278924804549
11291,-0.09431067947124129,0.13256383568817073,0.058268908123975824,0.12338555322773588,-0.040821994520255166,0.11384875067051518
11292,0.009950330853168092,0.12087231993793761,0.01980262729617973,0.11981611789663317,0.009950330853168092,0.10877205125563351
11293,-0.16251892949777494,0.11743753978142338,-0.020202707317519466,0.1159269779091049,-0.12783337150988489,0.0997408265222958
11294,-0.07257069283483537,0.15087461436175773,-0.030459207484708574,0.13748781018122883,-0.07257069283483537,0.1214720057716371
11295,-0.020202707317519466,0.13225490193266295,0.009950330853168092,0.12484279975531258,-0.020202707317519466,0.11176202350136971
11296,-0.06187540371808753,0.1330236032975779,0.009950330853168092,0.12484279975531258,-0.040821994520255166,0.10957923553249652
11297,-0.08338160893905101,0.10036239502349709,-0.030459207484708574,0.09564436545631289,-0.06187540371808753,0.08481398930731142
11298,-0.15082288973458366,0.16139659602661072,-0.06187540371808753,0.15351648172887117,-0.12783337150988489,0.1453250613875253
11299,0.009950330853168092,0.1326922481428021,-0.07257069283483537,0.11712981716556127,-0.020202707317519466,0.11176202350136971
11300,-0.06187540371808753,0.12032077083751302,-0.040821994520255166,0.1222820679925614,-0.06187540371808753,0.10287619698635009
11301,-0.07257069283483537,0.1467765675774392,0.009950330853168092,0.1287826191909811,-0.040821994520255166,0.1222820679925614
11302,-0.030459207484708574,0.13345455533066083,0,0.11791414334866665,-0.030459207484708574,0.10856161442788936
11303,0.03922071315328133,0.1331040200495188,0.09531017980432493,0.12667322682946527,0.06765864847381486,0.10712912659411464
11304,0.0769610411361284,0.13240367116585944,0.10436001532424286,0.12205596380909899,0.09531017980432493,0.10825230609369173
11305,0.12221763272424911,0.1342065143195897,0.14842000511827322,0.12773271165259928,0.1570037488096647,0.10946928960347874
11306,0.131028262406404,0.13660604977089988,0.13976194237515863,0.13215009060316793,0.1570037488096647,0.11645849590866336
11307,-0.040821994520255166,0.13057825211081664,0.04879016416943205,0.12060651942052572,-0.030459207484708574,0.10856161442788936
11308,0.04879016416943205,0.12060651942052572,0.13976194237515863,0.11117984790645778,0.09531017980432493,0.09687181756598853
11309,-0.020202707317519466,0.13625652308624758,0.06765864847381486,0.1260980057990912,0.009950330853168092,0.12087231993793761
11310,0,0.1454994603232972,0.09531017980432493,0.13741476213448178,0.06765864847381486,0.1260980057990912
11311,0.02955880224154443,0.1342402100618753,0.11332868530700327,0.1282216470820949,0.08617769624105241,0.11291173648311648
11312,0.06765864847381486,0.10324922894859456,0.04879016416943205,0.10105607845004784,0.06765864847381486,0.08339442473957744
11313,0.30010459245033816,0.16075563604076293,0.0769610411361284,0.1467765675774392,0.2468600779315258,0.12644702240029654
11314,0.131028262406404,0.1467765675774393,0.0769610411361284,0.12874627857473056,0.11332868530700327,0.11748011177707836
11315,0.17395330712343798,0.14462833669154976,0.058268908123975824,0.14194047372308013,0.13976194237515863,0.12177270068626858
11316,0.25464221837358075,0.1438016082351978,0.0769610411361284,0.13240367116585944,0.2151113796169455,0.11384875067051521
11317,0.2468600779315258,0.13263139001883983,0.12221763272424911,0.1376655382917217,0.23111172096338664,0.12188362667466786
