SA2_code,y.liver.male,sd.liver.male,y.liver.female,sd.liver.female,y.liver.persons,sd.liver.persons
21096,-0.3011050927839216,0.22047620162771714,0.09531017980432493,0.24268845243949635,-0.12783337150988489,0.1871685061124412
21097,-0.23572233352106983,0.19599098910170565,-0.020202707317519466,0.2306046549709476,-0.1743533871447778,0.1777074970756203
21098,-0.2613647641344075,0.21779551153672494,0.01980262729617973,0.22003724084899848,-0.13926206733350766,0.19299947336939163
21099,-0.18632957819149348,0.22101513067500986,-0.12783337150988489,0.21454233952689028,-0.15082288973458366,0.19079920461673133
21100,-0.11653381625595151,0.19331534730787886,-0.11653381625595151,0.22007375311019647,-0.10536051565782628,0.17970438448436332
21101,-0.16251892949777494,0.18017310668695136,-0.09431067947124129,0.19743892522145987,-0.13926206733350766,0.1598037624780335
21102,-0.2231435513142097,0.20686995311641035,-0.020202707317519466,0.22056752966548593,-0.12783337150988489,0.18313525126187324
21103,-0.18632957819149348,0.23283505887987432,-0.08338160893905101,0.26942215826555954,-0.15082288973458366,0.20289947329903543
21104,-0.12783337150988489,0.24052197749998047,-0.08338160893905101,0.24599884127368304,-0.09431067947124129,0.20873541801595658
21105,0.5933268452777344,0.16681423870712148,0.2700271372130602,0.21074985076193042,0.5306282510621704,0.14976897546131582
21106,0.5306282510621704,0.1864590681094211,0.25464221837358075,0.20023521616579473,0.47000362924573563,0.16938671236035294
21107,0.2468600779315258,0.16536707584398572,0.1823215567939546,0.1777074970756203,0.20701416938432612,0.14677656757743923
21108,0.494696241836107,0.13577019754982303,0.2151113796169455,0.16694536286143685,0.4252677354043441,0.121132774321884
21109,0.35065687161316933,0.19229170186944303,0.2151113796169455,0.2096056383926275,0.3148107398400336,0.17220124806104925
21110,0.3920420877760237,0.2137184328777067,0.19885085874516517,0.24188449719247992,0.35065687161316933,0.19229170186944303
21111,0.4054651081081644,0.1593748393072206,0.26236426446749106,0.18821811855835036,0.37843643572024505,0.14238957510028014
21112,0.412109650826833,0.16827943566456344,0.3293037471426003,0.19323063566892634,0.44468582126144574,0.14431774796726118
21113,0.4885800148186709,0.168979498303388,0.19885085874516517,0.1955942658711727,0.4054651081081644,0.1543727984415977
21114,0.22314355131420976,0.16284731607711833,0.1823215567939546,0.18663257740598624,0.1823215567939546,0.1467765675774393
21115,0.4637340162321402,0.2014936749007033,0.20701416938432612,0.2245352411603124,0.3987761199573678,0.17750603445439148
