SA2_code,y.melanoma.male,sd.melanoma.male,y.melanoma.female,sd.melanoma.female,y.melanoma.persons,sd.melanoma.persons
11001,-0.020202707317519466,0.14416682233929107,-0.2484613592984996,0.2024904920493739,-0.12783337150988489,0.11384875067051521
11002,-0.09431067947124129,0.10593845141747173,-0.01005033585350145,0.09814892482013064,-0.030459207484708574,0.09126490438927642
11003,-0.08338160893905101,0.232114880291599,0.131028262406404,0.22446494090782337,0.058268908123975824,0.18053099117492713
11004,-0.12783337150988489,0.10918932028109046,-0.05129329438755058,0.10627400163123228,-0.05129329438755058,0.09302120244589519
11005,0.14842000511827322,0.17977310346643668,-0.1743533871447778,0.21490482912056308,0.02955880224154443,0.1342402100618753
11006,-0.07257069283483537,0.12577755099911905,-0.09431067947124129,0.1282216470820949,-0.09431067947124129,0.1149688478967578
11007,-0.01005033585350145,0.1467765675774393,-0.06187540371808753,0.14948322687830315,-0.01005033585350145,0.1350472215444297
11008,-0.37106368139083207,0.17901070105781255,-0.2876820724517809,0.1716695084802107,-0.40047756659712525,0.15056992394862193
11009,-0.342490308946776,0.1539124053196535,-0.31471074483970024,0.16056670655086747,-0.40047756659712525,0.14486926037814987
11010,-0.2484613592984996,0.16128571825118085,-0.2744368457017603,0.16002936676277635,-0.3011050927839216,0.14331754360530724
11011,-0.18632957819149348,0.10516949259575165,-0.18632957819149348,0.11014713287399894,-0.18632957819149348,0.08993838894795511
11012,-0.2484613592984996,0.15649503439922216,-0.16251892949777494,0.16302177464665288,-0.18632957819149348,0.13433194863654177
11013,-0.13926206733350766,0.1725065949380984,-0.05129329438755058,0.17166950848021076,-0.09431067947124129,0.15786839749397283
11014,-0.31471074483970024,0.2406706600251862,-0.07257069283483537,0.24728588962330017,-0.21072103131565253,0.18761468373740675
11015,-0.1743533871447778,0.13758345252505244,-0.09431067947124129,0.13256383568817073,-0.13926206733350766,0.1242969809478319
11016,-0.21072103131565253,0.17436188455206966,-0.18632957819149348,0.1838177986300671,-0.2484613592984996,0.1516589405448631
11017,-0.030459207484708574,0.17242036083299456,0.22314355131420976,0.18886902753241053,0.12221763272424911,0.16124351949331947
11018,0.131028262406404,0.1534459969485377,0.058268908123975824,0.16683341462585155,0.131028262406404,0.12622865985400053
11019,0.14842000511827322,0.1735510253573458,-0.10536051565782628,0.1992548254548412,0.02955880224154443,0.1529310943372734
11020,-0.05129329438755058,0.13178952233259014,-0.01005033585350145,0.1428966699319192,-0.030459207484708574,0.11699493174993558
11021,0.04879016416943205,0.19208039348720002,-0.10536051565782628,0.2030765967452277,-0.06187540371808753,0.17706854385293366
11022,-0.05129329438755058,0.16781889336011743,-0.030459207484708574,0.16486164359567787,-0.030459207484708574,0.15718925718519805
11023,0.3074846997479607,0.20184327125773097,-0.06187540371808753,0.2281315329126186,0.16551443847757333,0.18327249513133104
11024,0.0769610411361284,0.12874627857473056,0,0.13385931860586278,0.06765864847381486,0.12236023024191116
11025,0.27763173659827955,0.13504722154442966,0.1906203596086497,0.16132512385704192,0.3148107398400336,0.10407298651792547
11026,0.02955880224154443,0.17096138333998204,0,0.19307981414298217,0.03922071315328133,0.15165894054486304
11027,0.009950330853168092,0.14803788856998473,0.058268908123975824,0.15984420832066693,0.06765864847381486,0.1260980057990912
11028,0.1906203596086497,0.1764658218907749,0.2700271372130602,0.17885170944492335,0.22314355131420976,0.15084196025559068
11029,0.3220834991691132,0.1298621760892248,0.23901690047049992,0.1427433127268712,0.3293037471426003,0.10570899151631029
11030,0.09531017980432493,0.10825230609369173,0.10436001532424286,0.11108341012493386,0.0769610411361284,0.10238300788885263
