SA2_code,y.ospg.male,sd.ospg.male,y.ospg.female,sd.ospg.female,y.ospg.persons,sd.ospg.persons
11001,0.10436001532424286,0.20225269009604402,0.47000362924573563,0.25356133517547835,0.29266961396282004,0.16178365186636443
11002,0.08617769624105241,0.0938007351897999,-0.020202707317519466,0.15580696405672548,0.09531017980432493,0.08523167584855415
11003,-0.040821994520255166,0.2606253182479545,-0.10536051565782628,0.33634981065523667,-0.08338160893905101,0.2356214513567837
11004,0.02955880224154443,0.10283312179685827,-0.07257069283483537,0.15087461436175773,0.009950330853168092,0.09217858609973552
11005,0.1906203596086497,0.23556368695461247,0,0.3055288270860735,0.16551443847757333,0.20974434991143903
11006,0.23901690047049992,0.12418839223152697,-0.05129329438755058,0.19418216404599536,0.19885085874516517,0.11217320209847953
11007,0.02955880224154443,0.1304184387714888,0.06765864847381486,0.22097787726462975,0.09531017980432493,0.12667322682946527
11008,0.1823215567939546,0.1716695084802107,0.009950330853168092,0.2596140115112242,0.17395330712343798,0.15422493462904782
11009,0.3148107398400336,0.16416637205689663,-0.07257069283483537,0.2195128250544139,0.25464221837358075,0.14677656757743926
11010,0.11332868530700327,0.15243926812236208,-0.05129329438755058,0.21924986229989574,0.08617769624105241,0.14207419252390655
11011,0.02955880224154443,0.10283312179685827,-0.030459207484708574,0.15718925718519805,0.02955880224154443,0.0946696823343883
11012,0.09531017980432493,0.15824231035910177,0.01980262729617973,0.23603240915720056,0.09531017980432493,0.14445217138567354
11013,0.04879016416943205,0.15401362624680473,0.058268908123975824,0.23496167616897534,0.12221763272424911,0.144514018053018
11014,0.17395330712343798,0.2467177019353858,-0.10536051565782628,0.3274764725369361,0.12221763272424911,0.22316232408733344
11015,0.04879016416943205,0.12060651942052572,0,0.18957324307779747,0.0769610411361284,0.10623362300894595
11016,0.009950330853168092,0.1629354164742001,0,0.24613579043076161,0.058268908123975824,0.14917753239244566
11017,0.009950330853168092,0.21522045182263763,0.41871033485818504,0.2855182591507259,0.25464221837358075,0.18118538430985384
11018,-0.10536051565782628,0.19152431268922782,0.20701416938432612,0.2581304277917341,0.0769610411361284,0.1676041158020592
11019,0.25464221837358075,0.21601598182465123,0.1823215567939546,0.2927553178200914,0.35065687161316933,0.1873382252740548
11020,0.0769610411361284,0.1467765675774392,0.2700271372130602,0.22095427255104755,0.23111172096338664,0.1250624785882577
11021,-0.09431067947124129,0.20499764245877652,0.10436001532424286,0.28486120293418055,0.04879016416943205,0.1853670850292862
11022,0.058268908123975824,0.1455718348296434,0.08617769624105241,0.21767649499367925,0.14842000511827322,0.1345355335247754
11023,0.1906203596086497,0.2302211870223189,0.3852624007906449,0.3214123872134763,0.3987761199573678,0.2057272783238059
11024,-0.01005033585350145,0.13107674172705472,0.12221763272424911,0.1962244743082667,0.11332868530700327,0.12108580933988064
