SA2_code,y.brain.male,sd.brain.male,y.brain.female,sd.brain.female,y.brain.persons,sd.brain.persons
31145,-0.06187540371808753,0.12032077083751302,-0.040821994520255166,0.11808283373923718,-0.07257069283483537,0.08565350644855117
31146,-0.020202707317519466,0.12822164708209496,-0.030459207484708574,0.11279569749661136,-0.05129329438755058,0.08852598322030597
31147,0,0.1377689475576838,-0.05129329438755058,0.11492173546479009,-0.05129329438755058,0.09747716161362714
31148,0,0.11791414334866665,-0.040821994520255166,0.09655204063190224,-0.05129329438755058,0.07941495393458849
31149,-0.05129329438755058,0.1018945405641958,-0.020202707317519466,0.09905919104130483,-0.07257069283483537,0.08099407605912642
31151,-0.07257069283483537,0.13004706613713773,-0.030459207484708574,0.12938916265250938,-0.08338160893905101,0.10036239502349709
31152,-0.05129329438755058,0.11492173546479009,-0.020202707317519466,0.10756278924804549,-0.07257069283483537,0.090270769468917475
31153,0.01980262729617973,0.1276655662841227,-0.030459207484708574,0.10856161442788936,-0.040821994520255166,0.09213466168133358
31154,-0.030459207484708574,0.1042920992898707,-0.030459207484708574,0.09998655406238872,-0.06187540371808753,0.08019672628694513
31155,0.01980262729617973,0.1237559373323017,-0.030459207484708574,0.10856161442788936,-0.040821994520255166,0.09213466168133358
31156,-0.06187540371808753,0.11167303700395521,-0.030459207484708574,0.10856161442788936,-0.07257069283483537,0.08565350644855117
31157,-0.01005033585350145,0.1270751205734701,-0.030459207484708574,0.11699493174993558,-0.05129329438755058,0.09302120244589519
31158,0.009950330853168092,0.1326922481428021,-0.040821994520255166,0.11384875067051518,-0.06187540371808753,0.0939250185930289
31159,-0.06187540371808753,0.14131978741583318,-0.05129329438755058,0.13592075204311024,-0.08338160893905101,0.10489757227719394
31160,-0.020202707317519466,0.11176202350136971,-0.040821994520255166,0.1009315016989387,-0.07257069283483537,0.08099407605912642
31161,-0.06187540371808753,0.12459028597553169,-0.05129329438755058,0.10627400163123228,-0.09431067947124129,0.08263741221686538
31163,0.009950330853168092,0.1592516164877271,-0.040821994520255166,0.13467629889513516,-0.05129329438755058,0.10627400163123228
31164,-0.07257069283483537,0.1214720057716371,-0.020202707317519466,0.12005820761962498,-0.08338160893905101,0.08650984958168542
31165,-0.01005033585350145,0.13107674172705472,-0.01005033585350145,0.11897647304475062,-0.05129329438755058,0.0839908059666091
31166,-0.06187540371808753,0.1288243690442537,0.02955880224154443,0.1304184387714888,-0.040821994520255166,0.08767870251360162
31167,-0.05129329438755058,0.09302120244589519,-0.040821994520255166,0.08318348328801238,-0.08338160893905101,0.06255220514914916
31168,-0.040821994520255166,0.11384875067051518,-0.030459207484708574,0.09998655406238872,-0.07257069283483537,0.08099407605912642
31169,-0.030459207484708574,0.1042920992898707,-0.020202707317519466,0.09475364581382285,-0.06187540371808753,0.07083492084398772
31170,-0.06187540371808753,0.11167303700395521,-0.020202707317519466,0.10756278924804549,-0.07257069283483537,0.08099407605912642
31171,-0.030459207484708574,0.08684752543870776,-0.020202707317519466,0.08161461719014189,-0.030459207484708574,0.050060130591083385
31172,-0.040821994520255166,0.08767870251360162,-0.01005033585350145,0.07643483583094902,-0.030459207484708574,0.050060130591083385
31173,-0.030459207484708574,0.13345455533066083,-0.01005033585350145,0.1270751205734701,-0.030459207484708574,0.08684752543870776
31174,-0.040821994520255166,0.07407245400229491,-0.01005033585350145,0.07197887666321708,-0.030459207484708574,0.050060130591083385
31175,-0.05129329438755058,0.1018945405641958,-0.030459207484708574,0.09564436545631289,-0.05129329438755058,0.06543588547126479
31176,-0.09431067947124129,0.16196644427829135,-0.030459207484708574,0.15330935953967798,-0.08338160893905101,0.11826612962108381
31177,-0.040821994520255166,0.08318348328801238,-0.020202707317519466,0.0726634387968207,-0.05129329438755058,0.055899082914044086
31178,-0.05129329438755058,0.08852598322030597,-0.020202707317519466,0.08161461719014189,-0.040821994520255166,0.055347266833709205
31179,-0.020202707317519466,0.09041145720774703,-0.01005033585350145,0.07197887666321708,-0.030459207484708574,0.05480624929634539
31180,-0.040821994520255166,0.09655204063190224,-0.01005033585350145,0.08957386445462999,-0.030459207484708574,0.05950862434987806
31181,-0.040821994520255166,0.08767870251360162,-0.01005033585350145,0.07643483583094902,-0.040821994520255166,0.055347266833709205
31182,-0.030459207484708574,0.1042920992898707,0,0.08875168730787653,-0.030459207484708574,0.06878531775966909
31183,-0.030459207484708574,0.08684752543870776,-0.01005033585350145,0.08085221478151769,-0.030459207484708574,0.05480624929634539
31184,-0.030459207484708574,0.09998655406238872,0,0.08875168730787653,-0.030459207484708574,0.0641680547393028
31185,-0.040821994520255166,0.10957923553249652,-0.01005033585350145,0.09387940968211196,-0.040821994520255166,0.06945519098192862
31186,-0.040821994520255166,0.07407245400229491,-0.01005033585350145,0.07197887666321708,-0.040821994520255166,0.0505565829817505
31187,-0.08338160893905101,0.1724611363839958,-0.01005033585350145,0.16945603827684422,-0.05129329438755058,0.11919125060280876
31188,-0.06187540371808753,0.11167303700395521,0,0.10145451976794141,-0.040821994520255166,0.07407245400229491
31189,-0.09431067947124129,0.13256383568817073,0.009950330853168092,0.1287826191909811,-0.040821994520255166,0.08767870251360162
31190,-0.05129329438755058,0.1018945405641958,-0.040821994520255166,0.08767870251360162,-0.06187540371808753,0.06608880213872571
31191,-0.030459207484708574,0.08684752543870776,-0.030459207484708574,0.07336116979168972,-0.05129329438755058,0.055899082914044086
31192,-0.020202707317519466,0.1709252281416087,-0.030459207484708574,0.15330935953967798,-0.040821994520255166,0.11808283373923718
31193,-0.040821994520255166,0.11384875067051518,0,0.10561947417567659,-0.040821994520255166,0.07864830603431554
