SA2_code,y.lung.male,sd.lung.male,y.lung.female,sd.lung.female,y.lung.persons,sd.lung.persons
31127,-0.1743533871447778,0.181977012213639,-0.07257069283483537,0.16297488304406182,-0.16251892949777494,0.1497689754613158
31128,-0.05129329438755058,0.17166950848021076,-0.06187540371808753,0.1693380310873203,-0.07257069283483537,0.1467765675774392
31129,-0.12783337150988489,0.21072056823650376,-0.040821994520255166,0.19249705670483064,-0.09431067947124129,0.17803719277797042
31130,-0.020202707317519466,0.1709252281416087,-0.030459207484708574,0.16103987230529135,-0.030459207484708574,0.14148943133481348
31131,0,0.1643283159026088,0.01980262729617973,0.1542249346290477,0.009950330853168092,0.1287826191909811
31132,-0.1743533871447778,0.15131174483113619,-0.1743533871447778,0.15131174483113619,-0.2231435513142097,0.13385931860586278
31133,-0.37106368139083207,0.24256311056891577,-0.13926206733350766,0.22037330678384068,-0.3011050927839216,0.20225269009604416
31134,-0.31471074483970024,0.1805772744862151,-0.08338160893905101,0.1764009558196643,-0.2231435513142097,0.15311458798486638
31135,-0.31471074483970024,0.1998325438652187,0,0.18248696136317138,-0.16251892949777494,0.16302177464665288
31136,-0.2484613592984996,0.18001090541976655,0.01980262729617973,0.16519748831321282,-0.10536051565782628,0.15520988489948545
31137,-0.2744368457017603,0.2113259122841423,-0.31471074483970024,0.20453491891875136,-0.35667494393873245,0.17684928983940357
31138,-0.020202707317519466,0.20338731787641046,-0.030459207484708574,0.1908412815687681,-0.030459207484708574,0.1686549999668606
31139,-0.15082288973458366,0.17420573946083334,-0.08338160893905101,0.1724611363839958,-0.15082288973458366,0.14825756740292975
31140,0.009950330853168092,0.1880031147281005,0,0.1789065671495762,0.009950330853168092,0.1592516164877271
31141,-0.09431067947124129,0.15373716778345278,-0.06187540371808753,0.1454178342001517,-0.10536051565782628,0.13385931860586273
31142,-0.16251892949777494,0.19266852505853083,-0.13926206733350766,0.19700109452297626,-0.18632957819149348,0.15742204638558296
31143,0.13976194237515863,0.2024139939486785,0.16551443847757333,0.19814830344329812,0.26236426446749106,0.16318946703325135
31144,0.04879016416943205,0.24583575861874404,-0.07257069283483537,0.24728588962330017,-0.01005033585350145,0.21199767549064585
31145,0.1906203596086497,0.15824231035910177,-0.06187540371808753,0.18089031514332019,0.11332868530700327,0.13874169157328656
31146,0.14842000511827322,0.1672521295296421,-0.15082288973458366,0.17420573946083334,0.009950330853168092,0.1404227609084155
31147,0.3074846997479607,0.1759390236182293,-0.05129329438755058,0.19418216404599536,0.20701416938432612,0.1529609351959825
31148,0.17395330712343798,0.151046082715458,-0.15082288973458366,0.16139659602661072,0.03922071315328133,0.13686938091565273
31149,0.058268908123975824,0.15275792660604084,-0.030459207484708574,0.14939973058785697,0.01980262729617973,0.1276655662841227
