SA2_code,y.colorectal.male,sd.colorectal.male,y.colorectal.female,sd.colorectal.female,y.colorectal.persons,sd.colorectal.persons
31206,0.06765864847381486,0.07523098527710746,0.04879016416943205,0.07656157886516997,0.08617769624105241,0.061651261807792714
31207,0.02955880224154443,0.11483847761838589,0.009950330853168092,0.11687069878435297,0.01980262729617973,0.1037453693969541
31208,0.058268908123975824,0.09621998459568877,0.04879016416943205,0.0970544572964632,0.06765864847381486,0.07932903206142597
31209,0.03922071315328133,0.09383818273516757,0.02955880224154443,0.0946696823343883,0.04879016416943205,0.07656157886516997
31210,0.06765864847381486,0.10324922894859456,0.02955880224154443,0.0946696823343883,0.058268908123975824,0.08818510859153614
31211,0.03922071315328133,0.09790357541331904,0.03922071315328133,0.09383818273516757,0.03922071315328133,0.08560890624032898
31212,0.04879016416943205,0.10105607845004784,0.04879016416943205,0.0970544572964632,0.06765864847381486,0.08742767959014544
31213,0.02955880224154443,0.07794018089408683,0.02955880224154443,0.07794018089408683,0.03922071315328133,0.06443557414504694
31214,0.058268908123975824,0.08818510859153614,0.03922071315328133,0.08560890624032898,0.058268908123975824,0.07589043941854608
31215,0.03922071315328133,0.08560890624032898,0.03922071315328133,0.08974013595084906,0.04879016416943205,0.07236234461184575
31216,0.04879016416943205,0.08072653327290515,0.03922071315328133,0.0814439518325938,0.04879016416943205,0.06812826154312375
31217,0.058268908123975824,0.08002166912906615,0.058268908123975824,0.08002166912906615,0.0769610411361284,0.07048486657184545
31218,0.02955880224154443,0.07794018089408683,0.02955880224154443,0.07794018089408683,0.02955880224154443,0.06936512052858618
31219,0,0.07572449240728225,0.01980262729617973,0.07434276080683347,0.009950330853168092,0.0662304140418319
31220,0.03922071315328133,0.07301063451054758,0.03922071315328133,0.07301063451054758,0.058268908123975824,0.059022652550746
31221,0,0.1753008695867739,0.01980262729617973,0.1579087346155207,0.009950330853168092,0.1518032494361187
31222,0.11332868530700327,0.11384875067051511,0.06765864847381486,0.11097974171420796,0.12221763272424911,0.090758652921474
