SA2_code,y.head_neck.male,sd.head_neck.male,y.head_neck.female,sd.head_neck.female,y.head_neck.persons,sd.head_neck.persons
31261,-0.10536051565782628,0.11611130019493643,-0.040821994520255166,0.11808283373923718,-0.09431067947124129,0.1013625993854511
31262,-0.030459207484708574,0.15330935953967798,0,0.1531145879848664,-0.01005033585350145,0.13107674172705472
31263,0.058268908123975824,0.12715091409386983,-0.10536051565782628,0.12506247858825761,0.009950330853168092,0.11283744393378498
31264,-0.030459207484708574,0.14939973058785697,-0.12783337150988489,0.13652822136992018,-0.06187540371808753,0.1288243690442537
31265,-0.08338160893905101,0.14816111138947813,-0.16251892949777494,0.1315454639296428,-0.13926206733350766,0.13340801023354937
31266,-0.05129329438755058,0.10627400163123228,-0.1743533871447778,0.1186848445248743,-0.11653381625595151,0.09397574731110529
31267,-0.030459207484708574,0.15330935953967798,-0.13926206733350766,0.14235918862687055,-0.09431067947124129,0.1411388960536714
31268,-0.08338160893905101,0.1522923410999982,-0.12783337150988489,0.13652822136992018,-0.10536051565782628,0.13385931860586273
31269,-0.3011050927839216,0.2508803328533527,-0.16251892949777494,0.24724613707494295,-0.3011050927839216,0.2249321607954491
31270,-0.21072103131565253,0.12752129819843563,-0.11653381625595151,0.13518052110929835,-0.1743533871447778,0.1089663777030914
31271,-0.2231435513142097,0.15781696303839904,0.009950330853168092,0.144244532198802,-0.12783337150988489,0.13207226220218823
31272,-0.21072103131565253,0.16533148807278358,-0.020202707317519466,0.14807645129111208,-0.19845093872383832,0.14051631625508504
31273,-0.19845093872383832,0.14051631625508504,-0.01005033585350145,0.1350472215444297,-0.1743533871447778,0.123475528376833
31274,0.03922071315328133,0.14060715647283278,-0.01005033585350145,0.13898704098009823,0.02955880224154443,0.1187782970540544
31275,-0.13926206733350766,0.13790322945913858,0,0.1259490193528193,-0.10536051565782628,0.12060651942052565
31276,-0.07257069283483537,0.14264533786691913,-0.020202707317519466,0.13225490193266295,-0.06187540371808753,0.12459028597553169
31277,0.058268908123975824,0.10803991280055325,0.10436001532424286,0.09986968220719149,0.09531017980432493,0.09687181756598853
31278,0.16551443847757333,0.11557533127471957,0.13976194237515863,0.10036239502349707,0.22314355131420976,0.09977897119590576
31280,0.1570037488096647,0.10946928960347874,0.1823215567939546,0.10700027090921892,0.22314355131420976,0.09302120244589522
31281,0.17395330712343798,0.13154546392964278,0.131028262406404,0.12272208878881583,0.2151113796169455,0.11384875067051521
31282,0.13976194237515863,0.11117984790645778,0.13976194237515863,0.11117984790645778,0.19885085874516517,0.09856695358717271
31283,0.2151113796169455,0.15189400347536647,0.12221763272424911,0.15127178680302852,0.20701416938432612,0.13097951369786434
31284,0.16551443847757333,0.13585100915712475,0.11332868530700327,0.1317524852681019,0.1823215567939546,0.11723882348616245
31285,0.26236426446749106,0.15165894054486306,0.11332868530700327,0.1352590563332866,0.23901690047049992,0.13044864355388117
31286,0.3852624007906449,0.13625652308624758,0.1570037488096647,0.13686938091565276,0.37843643572024505,0.12354084285962497
31287,0.3293037471426003,0.12330397930772322,0.1823215567939546,0.14035882155353105,0.3364722366212129,0.10798427137167077
31288,0.0769610411361284,0.1360350322724227,0.09531017980432493,0.12304186572290202,0.09531017980432493,0.12304186572290202
31289,0,0.14164884520320387,0.03922071315328133,0.12548889238794958,-0.01005033585350145,0.1270751205734701
31290,0.009950330853168092,0.1518032494361187,0.03922071315328133,0.1331040200495188,0.009950330853168092,0.13657214578832216
31291,0.26236426446749106,0.1487351269178299,0.14842000511827322,0.14124884198268925,0.27763173659827955,0.13504722154442966
31292,0.1906203596086497,0.13934370235892374,0.10436001532424286,0.13279749911411548,0.17395330712343798,0.12150833862418113
31293,0.19885085874516517,0.13514446810559952,0.1570037488096647,0.14019319776320058,0.23111172096338664,0.11546588065075962
31294,0.06765864847381486,0.13714978987112145,0.09531017980432493,0.11938447313177315,0.09531017980432493,0.12667322682946527
31295,-0.01005033585350145,0.1767972308544461,0.04879016416943205,0.15040792868400246,0.009950330853168092,0.15554102499329872
31296,0.01980262729617973,0.1542249346290477,0,0.14164884520320387,0.009950330853168092,0.1326922481428021
31297,-0.030459207484708574,0.14148943133481348,-0.020202707317519466,0.14416682233929107,-0.05129329438755058,0.13592075204311024
31298,-0.030459207484708574,0.21210286136497628,-0.020202707317519466,0.17463581963603708,-0.040821994520255166,0.19612841781139387
31299,0.058268908123975824,0.1702924385979836,0,0.15687994885100037,0.03922071315328133,0.15165894054486304
31300,0.14842000511827322,0.15115602864447578,-0.030459207484708574,0.14148943133481348,0.0769610411361284,0.1360350322724227
31302,-0.020202707317519466,0.14416682233929107,-0.01005033585350145,0.13898704098009823,-0.05129329438755058,0.13178952233259014
31303,-0.05129329438755058,0.19783955663712424,0.04879016416943205,0.17512853245234267,0.009950330853168092,0.17741026194828968
31304,-0.01005033585350145,0.1467765675774393,0.01980262729617973,0.13154546392964278,-0.01005033585350145,0.1350472215444297
31305,0.22314355131420976,0.12912787126640915,0.04879016416943205,0.13198700794822893,0.1906203596086497,0.11971804887535428
31306,0.1823215567939546,0.1467765675774393,0.04879016416943205,0.13943537499983732,0.14842000511827322,0.13114546070912814
31307,0,0.12991949917019427,0.06765864847381486,0.12980859729351957,0.02955880224154443,0.11483847761838589
31308,0.058268908123975824,0.16683341462585155,0.058268908123975824,0.14917753239244566,0.04879016416943205,0.1467765675774392
31309,0.04879016416943205,0.164680302175026,0.058268908123975824,0.1455718348296434,0.058268908123975824,0.14194047372308013
31310,0.058268908123975824,0.13459928114547826,0.058268908123975824,0.12338555322773588,0.06765864847381486,0.12236023024191116
31311,-0.020202707317519466,0.13225490193266295,0.058268908123975824,0.12338555322773588,-0.01005033585350145,0.11487842626043211
31312,0.01980262729617973,0.1276655662841227,0.10436001532424286,0.11842460270253574,0.058268908123975824,0.10803991280055325
31313,0.01980262729617973,0.1467765675774393,0.11332868530700327,0.1317524852681019,0.08617769624105241,0.12770129611232678
31314,0.01980262729617973,0.13921785034012263,0.14842000511827322,0.13114546070912814,0.10436001532424286,0.12205596380909899
31316,-0.10536051565782628,0.14677656757743923,0.04879016416943205,0.12822164708209496,-0.08338160893905101,0.13556283965969676
31317,0.11332868530700327,0.14563644625018596,0.19885085874516517,0.14152210216898292,0.22314355131420976,0.12912787126640915
